code,sdown_date,entry_date,gap_pct,open_time,open,mkt,scale_band,mrgn,openable_by_10,net_0930,net_1000,net_1030,net_close
2673,2025-10-03,2025-10-06,-9.64,09:07,225.0,スタンダード,小型,信用,1,-3.311,0.689,2.911,6.467
9082,2025-10-06,2025-10-07,-13.51,09:18,1537.0,スタンダード,小型,信用,1,-0.59,-1.371,-2.412,-0.525
4370,2025-10-14,2025-10-15,-16.1,15:30,417.0,グロース,小型,信用,0,,,,-0.2
5987,2025-10-14,2025-10-15,-8.45,09:09,2166.0,スタンダード,小型,信用,1,-1.031,-4.17,-0.754,-2.785
373A,2025-10-16,2025-10-17,-19.42,09:27,2075.0,グロース,小型,信用,1,1.053,-0.2,-0.2,-0.2
281A,2025-10-23,2025-10-24,-27.72,09:51,743.0,グロース,小型,信用,1,,-1.68,-2.219,-2.219
7814,2025-11-04,2025-11-05,-10.22,09:18,641.0,スタンダード,小型,貸借,1,4.324,5.104,4.48,7.288
5202,2025-11-06,2025-11-07,-8.83,09:12,475.0,プライム,小型,貸借,1,-11.568,-9.253,-11.568,-8.411
6276,2025-11-06,2025-11-07,-13.18,09:23,448.0,スタンダード,小型,信用,1,3.148,28.818,22.791,19.889
3131,2025-11-11,2025-11-12,-8.97,09:13,2740.0,スタンダード,小型,信用,1,-1.514,0.274,-0.747,-1.769
281A,2025-11-14,2025-11-17,-17.15,09:30,483.0,グロース,小型,信用,1,-0.2,-0.2,2.492,0.835
5858,2025-11-14,2025-11-17,-11.3,09:14,1570.0,グロース,小型,信用,1,1.074,0.437,2.093,-1.346
8105,2025-11-14,2025-11-17,-16.03,09:31,524.0,スタンダード,小型,信用,1,,-0.009,-0.009,-0.2
2586,2025-11-17,2025-11-18,-11.68,09:09,121.0,グロース,小型,信用,1,2.279,-0.2,8.891,-1.026
298A,2025-11-17,2025-11-18,-11.59,09:18,534.0,グロース,小型,信用,1,-4.133,-4.882,-5.631,-5.818
8105,2025-11-17,2025-11-18,-11.07,09:18,466.0,スタンダード,小型,信用,1,-2.346,-6.209,-1.917,-9.213
8746,2025-11-20,2025-11-21,-23.74,09:27,257.0,スタンダード,小型,信用,1,0.578,1.356,0.967,-0.2
4424,2025-11-27,2025-11-28,-18.02,15:30,455.0,グロース,小型,貸借,0,,,,-0.2
4424,2025-11-28,2025-12-01,-14.07,09:21,391.0,グロース,小型,貸借,1,2.869,-1.735,-3.781,-7.361
8105,2025-12-01,2025-12-02,-20.38,09:21,250.0,スタンダード,小型,信用,1,21.0,17.4,33.4,41.8
2342,2025-12-02,2025-12-03,-19.66,15:30,327.0,スタンダード,小型,信用,0,,,,-0.2
4570,2025-12-02,2025-12-03,-22.44,15:30,2420.0,グロース,小型,信用,0,,,,-0.2
6993,2025-12-02,2025-12-03,-25.36,09:18,103.0,スタンダード,小型,貸借,1,9.509,-9.909,-0.2,-7.967
4570,2025-12-03,2025-12-04,-26.86,09:39,1770.0,グロース,小型,信用,1,,15.789,5.224,-12.516
6696,2025-12-04,2025-12-05,-9.9,09:09,273.0,グロース,小型,信用,1,4.928,33.866,31.302,24.342
5134,2025-12-12,2025-12-15,-14.86,14:25,573.0,グロース,小型,信用,0,,,,-0.2
3856,2025-12-18,2025-12-19,-18.08,15:30,453.0,スタンダード,小型,信用,0,,,,-0.2
3856,2025-12-19,2025-12-22,-22.96,09:38,349.0,スタンダード,小型,信用,1,,-4.498,-1.919,2.665
3261,2025-12-22,2025-12-23,-16.84,15:30,741.0,グロース,小型,信用,0,,,,-0.2
3261,2025-12-23,2025-12-24,-8.77,09:14,676.0,グロース,小型,信用,1,-0.2,-1.531,0.096,-1.088
8995,2025-12-25,2025-12-26,-11.22,09:15,1915.0,スタンダード,小型,信用,1,-3.438,-2.289,-13.673,-13.673
4598,2026-01-09,2026-01-13,-17.74,15:30,371.0,グロース,小型,信用,0,,,,-0.2
4598,2026-01-13,2026-01-14,-23.72,09:31,283.0,グロース,小型,信用,1,,-4.44,-1.613,-5.854
3562,2026-01-14,2026-01-15,-10.49,09:12,1791.0,スタンダード,小型,信用,1,4.378,6.444,6.668,7.449
9168,2026-01-14,2026-01-15,-14.39,09:27,595.0,グロース,小型,信用,1,-0.2,0.976,1.481,2.993
5724,2026-01-20,2026-01-21,-8.45,09:13,3790.0,スタンダード,小型,信用,1,3.626,4.285,5.341,4.549
6330,2026-01-20,2026-01-21,-12.43,09:20,4930.0,プライム,小型,貸借,1,0.104,6.088,4.871,5.074
7771,2026-01-20,2026-01-21,-23.23,09:24,238.0,スタンダード,小型,信用,1,-1.04,-3.561,-3.561,7.363
4960,2026-01-29,2026-01-30,-18.75,09:31,845.0,スタンダード,小型,貸借,1,,-3.159,-5.644,-7.892
1542,2026-02-05,2026-02-06,-16.79,09:27,34680.0,その他,小型,貸借,1,2.309,1.501,2.078,4.183
6330,2026-02-12,2026-02-13,-19.42,15:30,4150.0,プライム,小型,貸借,0,,,,-0.2
4596,2026-02-13,2026-02-16,-30.22,09:33,157.0,グロース,小型,信用,1,,11.902,2.348,11.902
5029,2026-02-13,2026-02-16,-19.82,09:36,607.0,グロース,小型,信用,1,,2.271,-0.2,-0.2
6330,2026-02-13,2026-02-16,-15.54,09:27,3505.0,プライム,小型,貸借,1,6.933,15.349,13.352,29.757
7771,2026-02-13,2026-02-16,-19.35,15:30,625.0,スタンダード,小型,信用,0,,,,-0.2
9337,2026-02-13,2026-02-16,-14.89,09:20,2000.0,グロース,小型,信用,1,-1.2,-2.45,-1.65,0.9
248A,2026-02-16,2026-02-17,-18.62,09:26,1180.0,グロース,小型,信用,1,0.647,3.953,2.851,0.393
3135,2026-02-16,2026-02-17,-14.18,09:18,950.0,スタンダード,小型,貸借,1,5.8,4.537,4.326,5.484
352A,2026-02-16,2026-02-17,-12.04,09:21,621.0,グロース,小型,信用,1,1.571,2.699,3.665,22.183
4476,2026-02-16,2026-02-17,-14.62,09:15,1010.0,グロース,小型,信用,1,1.978,0.988,3.364,4.949
7771,2026-02-16,2026-02-17,-16.0,15:30,525.0,スタンダード,小型,信用,0,,,,-0.2
6085,2026-02-17,2026-02-18,-9.88,09:09,1095.0,グロース,小型,その他,1,-3.944,-11.159,15.142,6.832
7771,2026-02-17,2026-02-18,-14.86,09:24,447.0,スタンダード,小型,信用,1,-0.647,-2.661,-4.674,-2.661
3103,2026-02-18,2026-02-19,-8.27,09:09,1552.0,スタンダード,小型,貸借,1,-0.136,-3.164,-11.991,-16.695
7794,2026-02-18,2026-02-19,-23.01,15:30,1673.0,グロース,小型,信用,0,,,,-0.2
7810,2026-02-18,2026-02-19,-10.68,09:09,251.0,スタンダード,小型,貸借,1,-7.371,-6.973,-9.363,-6.575
2962,2026-02-19,2026-02-20,-12.96,09:21,880.0,スタンダード,小型,信用,1,11.164,11.618,13.436,3.777
7794,2026-02-19,2026-02-20,-23.91,15:30,1273.0,グロース,小型,信用,0,,,,-0.2
9238,2026-02-24,2026-02-25,-15.21,15:30,836.0,グロース,小型,信用,0,,,,-0.2
9238,2026-02-25,2026-02-26,-10.41,09:15,749.0,グロース,小型,信用,1,-4.472,-2.737,-3.538,-3.404
3205,2026-03-02,2026-03-03,-21.87,09:36,836.0,スタンダード,小型,貸借,1,,-4.147,-1.875,-3.908
6085,2026-03-04,2026-03-05,-16.73,09:23,1991.0,グロース,小型,その他,1,-5.223,-5.223,-5.223,-5.223
6085,2026-03-05,2026-03-06,-19.04,09:24,1531.0,グロース,小型,その他,1,8.095,5.548,9.075,11.296
7777,2026-03-13,2026-03-16,-13.4,09:21,491.0,グロース,小型,信用,1,4.077,5.91,1.633,5.91
6085,2026-03-17,2026-03-18,-17.5,15:30,3300.0,グロース,小型,その他,0,,,,-0.2
6085,2026-03-18,2026-03-19,-21.21,15:30,2600.0,グロース,小型,その他,0,,,,-0.2
6085,2026-03-19,2026-03-23,-19.23,09:27,2100.0,グロース,小型,その他,1,2.657,23.181,11.943,31.467
533A,2026-03-24,2026-03-25,-13.81,09:18,1923.0,その他,小型,信用,1,2.764,2.244,2.244,2.296
6580,2026-03-25,2026-03-26,-25.45,10:27,879.0,グロース,小型,貸借,0,,,-0.2,-0.2
4316,2026-03-27,2026-03-30,-19.79,09:36,604.0,グロース,小型,その他,1,,0.462,-0.366,-0.366
4381,2026-03-30,2026-03-31,-9.9,09:15,455.0,グロース,小型,信用,1,-2.837,-3.936,-2.618,-5.695
9348,2026-03-30,2026-03-31,-8.58,09:14,426.0,グロース,小型,信用,1,-2.078,1.443,1.913,1.913
3681,2026-04-01,2026-04-02,-28.57,09:09,50.0,プライム,小型,その他,1,-2.2,-4.2,-8.2,-0.2
4316,2026-04-01,2026-04-02,-17.13,15:30,387.0,グロース,小型,その他,0,,,,-0.2
4316,2026-04-02,2026-04-03,-55.81,10:24,171.0,グロース,小型,その他,0,,,5.063,12.081
3856,2026-04-07,2026-04-08,-12.74,09:21,500.0,スタンダード,小型,信用,1,3.0,0.8,-0.2,10.8
2901,2026-04-15,2026-04-16,-23.62,09:21,207.0,スタンダード,小型,信用,1,-7.929,-2.615,5.597,2.699
3557,2026-04-15,2026-04-16,-18.43,15:30,664.0,グロース,小型,信用,0,,,,-0.2
469A,2026-04-15,2026-04-16,-14.29,09:18,1740.0,グロース,小型,信用,1,-0.315,-0.372,-1.349,-3.016
3103,2026-04-21,2026-04-22,-10.51,09:16,2725.0,スタンダード,小型,貸借,1,19.25,2.075,8.461,3.837
7426,2026-04-23,2026-04-24,-15.16,09:25,470.0,スタンダード,小型,その他,1,0.864,5.332,4.055,4.481
6173,2026-05-01,2026-05-07,-37.97,15:30,49.0,,,,0,,,,-0.2
6173,2026-05-07,2026-05-08,-28.57,09:06,35.0,,,,1,14.086,16.943,19.8,8.371
