code,lockup_days,listing,entry_date,entry_open,exit7_date,exit7_close,tpx_entry_open,tpx_exit7_close,net_1,net_3,net_5,net_7
339A,90|180,2025-03-28,2025-06-26,1360.0,2025-07-04,1447.0,2784.59,2827.95,-0.1635,-6.8902,-1.382,-4.9899
341A,90|180,2025-03-28,2025-06-26,2402.0,2025-07-04,2518.0,2784.59,2827.95,13.1031,11.9596,16.7007,-3.4222
338A,90|180,2025-03-28,2025-06-26,13830.0,2025-07-04,12070.0,2784.59,2827.95,12.8639,16.4008,7.7015,14.1331
336A,90|180,2025-03-27,2025-06-25,1270.0,2025-07-03,1182.0,2789.68,2828.99,2.6542,1.0432,6.4876,8.1883
334A,180,2025-03-25,2025-06-23,1549.0,2025-07-01,1540.0,2764.51,2832.07,2.8283,2.4926,6.7965,2.8749
335A,180,2025-03-25,2025-06-23,641.0,2025-07-01,607.0,2764.51,2832.07,1.1336,2.5194,6.9684,7.598
332A,90|180,2025-03-21,2025-06-19,878.0,2025-06-27,801.0,2807.46,2840.54,2.4912,4.0102,4.4186,9.7982
5016,180,2025-03-19,2025-06-17,765.2,2025-06-25,786.5,2777.67,2782.24,-2.9262,-2.637,-0.7306,-2.7691
331A,180,2025-03-19,2025-06-17,518.0,2025-06-25,513.0,2777.67,2782.24,1.7285,0.9479,2.1521,0.9798
330A,90|180,2025-03-18,2025-06-16,1314.0,2025-06-24,1236.0,2773.83,2781.35,2.5565,5.4324,4.0952,6.0572
325A,180|360,2025-02-28,2025-05-29,3365.0,2025-06-06,4185.0,2788.11,2769.33,0.4104,-8.1161,-8.2807,-25.1921
324A,180,2025-02-21,2025-05-22,1552.0,2025-05-30,1477.0,2713.71,2801.57,1.0055,7.6365,8.4784,7.9201
323A,360,2025-02-20,2025-05-21,983.0,2025-05-29,880.0,2747.68,2812.02,5.2117,10.4959,7.6631,12.6697
319A,180,2025-02-05,2025-05-07,4380.0,2025-05-15,4835.0,2698.57,2738.96,0.1032,-1.0249,-3.9306,-9.0414
302A,180,2024-12-27,2025-03-27,1465.0,2025-04-04,1302.0,2794.77,2482.06,1.2733,0.6479,-1.7019,-0.2128
303A,180,2024-12-26,2025-03-26,1283.0,2025-04-03,1024.0,2816.85,2568.61,-0.0568,2.0989,7.2036,11.2244
304A,180,2024-12-26,2025-03-26,2274.0,2025-04-03,1985.0,2816.85,2568.61,-3.149,1.1203,3.7099,3.7462
298A,180,2024-12-26,2025-03-26,616.0,2025-04-03,539.0,2816.85,2568.61,-1.2646,3.2536,4.2457,3.5373
300A,90|180,2024-12-25,2025-03-25,1665.0,2025-04-02,1716.0,2811.65,2650.29,-2.6345,-5.1192,-16.3996,-8.952
297A,180,2024-12-25,2025-03-25,253.0,2025-04-02,237.0,2811.65,2650.29,-1.0478,-1.1999,-3.6125,0.4351
296A,180,2024-12-23,2025-03-24,598.0,2025-04-01,569.0,2809.15,2661.73,-1.9709,-4.1975,-6.6798,-0.5484
290A,180,2024-12-19,2025-03-19,687.0,2025-03-28,726.0,2789.31,2757.25,1.6896,2.6719,-2.0703,-6.9762
285A,180,2024-12-18,2025-03-18,3190.0,2025-03-27,2539.0,2777.36,2815.47,0.7002,7.7115,16.6887,21.6297
291A,30|180,2024-12-17,2025-03-17,3650.0,2025-03-26,3550.0,2739.45,2812.89,1.6733,4.2416,5.837,5.2706
287A,180,2024-12-17,2025-03-17,1071.0,2025-03-26,1032.0,2739.45,2812.89,-0.5805,1.3526,4.8086,6.1723
288A,180,2024-12-13,2025-03-13,227.0,2025-03-24,212.0,2709.97,2790.88,2.0648,6.1036,9.1905,9.4436
286A,180,2024-12-12,2025-03-12,929.0,2025-03-21,1064.0,2672.71,2804.16,-1.1493,-1.4423,-0.8464,-9.7635
281A,90|180,2024-12-09,2025-03-10,897.0,2025-03-18,861.0,2711.24,2783.56,-1.3169,-3.5394,-2.8785,6.5308
280A,90|180,2024-12-04,2025-03-04,1352.0,2025-03-12,1235.0,2716.55,2694.91,2.3522,4.3137,3.4847,7.7072
278A,180,2024-11-29,2025-02-27,8450.0,2025-03-07,8050.0,2719.76,2708.59,-5.3425,-2.6299,3.935,4.173
277A,180,2024-11-29,2025-02-27,1740.0,2025-03-07,1802.0,2719.76,2708.59,-5.2908,-0.4793,-7.0461,-4.1239
276A,180,2024-11-28,2025-02-26,3020.0,2025-03-06,3065.0,2718.01,2751.41,-5.8384,-2.4649,-0.9348,-0.4112
274A,180,2024-11-22,2025-02-20,2901.0,2025-03-03,2710.0,2751.47,2729.56,3.4078,4.8061,6.191,5.6376
269A,180,2024-10-29,2025-01-27,3565.0,2025-02-04,4045.0,2771.43,2738.02,-5.8214,-14.7264,-9.346,-14.8198
265A,90|180,2024-10-28,2025-01-27,1123.0,2025-02-04,1005.0,2771.43,2738.02,1.7722,5.432,12.4931,9.1521
268A,180,2024-10-25,2025-01-23,947.0,2025-01-31,914.0,2743.43,2788.66,1.948,6.0859,6.6189,4.9834
9023,180,2024-10-23,2025-01-21,1749.5,2025-01-29,1755.0,2728.09,2775.59,1.1729,1.9458,3.8355,1.2768
264A,180|360,2024-10-22,2025-01-20,1329.0,2025-01-28,1306.0,2695.34,2756.9,0.6668,5.7669,3.1957,3.8646
262A,180,2024-10-18,2025-01-16,2489.0,2025-01-24,2468.0,2704.4,2751.04,0.7014,-2.9092,0.3795,2.4183
261A,180,2024-10-16,2025-01-14,1460.0,2025-01-22,1430.0,2712.02,2737.19,-2.2629,0.6881,1.2607,2.8329
250A,180,2024-10-01,2024-12-30,1400.0,2025-01-14,1388.0,2809.93,2682.58,-0.3972,-3.3385,-2.4267,-3.825
247A,90|180,2024-09-27,2024-12-26,3120.0,2025-01-09,3085.0,2735.8,2735.92,2.2644,0.6839,3.3083,0.9762
248A,90|180,2024-09-26,2024-12-25,1379.0,2025-01-08,1561.0,2730.96,2770.0,3.582,-6.1174,-9.7341,-11.9184
